Date,Open,High,Low,Close,Adj Close,Volume
2013-05-07,223920.0,227600.0,223200.0,225440.0,182901.0625,266
2013-05-08,225760.0,226640.0,221280.0,221760.0,179915.484375,188
2013-05-09,222960.0,224080.0,218400.0,222480.0,180499.625,204
2013-05-10,221520.0,222560.0,218400.0,218560.0,177319.328125,183
2013-05-13,219760.0,220480.0,216320.0,217760.0,176670.234375,183
2013-05-14,217760.0,217760.0,212480.0,214640.0,174138.96875,202
2013-05-15,215760.0,217360.0,212640.0,213280.0,173035.609375,157
2013-05-16,212240.0,214240.0,209520.0,214000.0,173619.78125,256
2013-05-17,210960.0,212560.0,207360.0,207600.0,168427.40625,245
2013-05-20,209280.0,211040.0,206640.0,208960.0,169530.75,208
2013-05-21,208880.0,211040.0,205680.0,207760.0,168557.1875,209
2013-05-22,206960.0,216560.0,202160.0,213200.0,172970.6875,713
2013-05-23,218960.0,220240.0,212800.0,214800.0,174268.796875,469
2013-05-24,219120.0,220960.0,215120.0,215120.0,174528.359375,313
2013-05-28,207600.0,212880.0,205200.0,210800.0,171023.53125,357
2013-05-29,213360.0,217440.0,211680.0,214000.0,173619.78125,411
2013-05-30,213920.0,213920.0,207680.0,210560.0,170828.859375,301
2013-05-31,213120.0,216960.0,208160.0,216960.0,176021.234375,278
2013-06-03,216080.0,223520.0,214960.0,214960.0,174398.5625,703
2013-06-04,213920.0,221040.0,211280.0,218480.0,177254.421875,533
2013-06-05,220400.0,227440.0,218080.0,226800.0,184004.453125,631
2013-06-06,226080.0,232560.0,223600.0,223760.0,181538.109375,578
2013-06-07,220800.0,222480.0,213760.0,214560.0,174074.078125,472
2013-06-10,212960.0,215520.0,211200.0,214240.0,173814.46875,371
2013-06-11,220640.0,222640.0,214880.0,220640.0,179006.828125,522
2013-06-12,216720.0,229120.0,216400.0,228160.0,185107.875,573
2013-06-13,229120.0,231040.0,218080.0,219680.0,178227.96875,370
2013-06-14,219520.0,224800.0,218800.0,223680.0,181473.171875,352
2013-06-17,218240.0,220960.0,213520.0,217600.0,176540.46875,485
2013-06-18,216480.0,216640.0,210800.0,212240.0,172191.84375,384
2013-06-19,211840.0,219760.0,211280.0,219200.0,177838.546875,663
2013-06-20,226720.0,236800.0,224480.0,235280.0,190884.359375,688
2013-06-21,234880.0,244240.0,232880.0,238000.0,193091.078125,572
2013-06-24,244160.0,251360.0,239920.0,245200.0,198932.5,818
2013-06-25,238480.0,244480.0,237040.0,240400.0,195038.265625,305
2013-06-26,234080.0,236400.0,232320.0,233840.0,189716.09375,337
2013-06-27,230080.0,231120.0,226320.0,230480.0,186990.0625,423
2013-06-28,233120.0,234400.0,225600.0,230240.0,186795.375,567
2013-07-01,224880.0,226080.0,219920.0,225520.0,182966.0,421
2013-07-02,225920.0,228800.0,221120.0,225600.0,183030.875,477
2013-07-03,227600.0,228160.0,219200.0,222400.0,180434.71875,205
2013-07-05,218800.0,224000.0,217040.0,217520.0,176475.5625,428
2013-07-08,213840.0,219040.0,213840.0,216720.0,175826.5,263
2013-07-09,213760.0,216640.0,211360.0,212800.0,172646.15625,371
2013-07-10,213520.0,213520.0,208160.0,209040.0,169595.671875,363
2013-07-11,202240.0,202800.0,196080.0,196480.0,159405.65625,398
2013-07-12,196160.0,197680.0,193600.0,194080.0,157458.53125,270
2013-07-15,193440.0,194960.0,192320.0,192640.0,156290.234375,165
2013-07-16,192240.0,194880.0,191760.0,193360.0,156874.375,159
2013-07-17,191760.0,193600.0,190640.0,192080.0,155835.890625,163
2013-07-18,192160.0,194320.0,190560.0,193200.0,156744.578125,214
2013-07-19,198160.0,200960.0,198160.0,199200.0,161612.390625,271
2013-07-22,197200.0,199360.0,196240.0,197600.0,160314.3125,150
2013-07-23,196480.0,202400.0,196400.0,201920.0,163819.125,242
2013-07-24,196000.0,201360.0,195760.0,199920.0,162196.515625,256
2013-07-25,197120.0,200320.0,195520.0,196080.0,159081.09375,332
